Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
19,1732029619599,19/11/2024 15:20:19,1732029619457,-5,19/11/2024 10:20:19,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,4,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,1,HugginsPitch_7_1.flac,1
20,1732029625627,19/11/2024 15:20:25,1732029625481,-5,19/11/2024 10:20:25,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,4,2,Screen 1,content,content_audio,6018,,,,,0,1,0,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
21,1732029626394,19/11/2024 15:20:26,1732029626252,-5,19/11/2024 10:20:26,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,4,3,Screen 2,buttonA,response_button_text,763,,,1,1,1,0,0,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
22,1732029627367,19/11/2024 15:20:27,1732029627239,-5,19/11/2024 10:20:27,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,13,5,1,Screen 3,Zone3,timelimit_screen,999,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_12_2.flac,1
23,1732029633398,19/11/2024 15:20:33,1732029633264,-5,19/11/2024 10:20:33,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,13,5,2,Screen 1,content,content_audio,6019,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
24,1732029633887,19/11/2024 15:20:33,1732029633759,-5,19/11/2024 10:20:33,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,13,5,3,Screen 2,buttonB,response_button_text,490,,,2,1,1,0,0,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
25,1732029634889,19/11/2024 15:20:34,1732029634757,-5,19/11/2024 10:20:34,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,6,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,3,HugginsPitch_11_3.flac,1
26,1732029640939,19/11/2024 15:20:40,1732029640781,-5,19/11/2024 10:20:40,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,6,2,Screen 1,content,content_audio,6019,,,,,0,1,0,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
27,1732029643316,19/11/2024 15:20:43,1732029643164,-5,19/11/2024 10:20:43,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,6,3,Screen 2,buttonC,response_button_text,2379.999999999942,,,3,1,1,0,0,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
28,1732029646639,19/11/2024 15:20:46,1732029646416,-5,19/11/2024 10:20:46,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,14,1,1,Screen 1,advancementZone,continue_button,3246,,,,,0,1,0,,,,,,End,,,
